DistanciaKm,CantidadCajas,Peso (Kg),TipoProducto,TiempoProduccionHoras,Tiempo Embalaje (Horas),Tiempo Carga (Horas),Zona,DiaSemana,HoraPedido,ClienteRecurrente,Tipo Vehiculo,TiempoEntregaHoras
120,15,45,Electrónico,4.0,1.5,1.0,Norte,Lunes,Mañana,Si,Furgoneta,12.5
50,5,10,Ropa,1.0,0.5,0.5,Centro,Martes,Tarde,No,Moto,4.5
300,50,250,Mueble,12.0,3.0,2.0,Sur,Miércoles,Mañana,Si,Camión,35.0
180,20,60,Alimento,2.0,1.0,1.0,Este,Jueves,Noche,Si,Furgoneta,18.0
80,8,20,Otro,1.5,0.5,0.5,Oeste,Viernes,Tarde,No,Auto,8.0
450,100,500,Mueble,24.0,5.0,3.0,Norte,Sábado,Mañana,No,Camión,65.5
60,4,8,Ropa,0.5,0.5,0.5,Centro,Domingo,Noche,Si,Moto,5.0
150,18,50,Electrónico,3.5,1.0,1.0,Sur,Lunes,Tarde,Si,Auto,14.5
220,30,110,Alimento,5.0,2.0,1.5,Este,Martes,Mañana,No,Furgoneta,22.0
350,40,300,Otro,8.0,2.5,2.0,Oeste,Miércoles,Tarde,Si,Camión,38.5
110,12,35,Ropa,2.0,1.0,0.5,Centro,Jueves,Mañana,Si,Auto,10.0
500,120,600,Mueble,30.0,6.0,4.0,Norte,Viernes,Noche,No,Camión,78.0
90,10,25,Alimento,1.5,0.5,0.5,Sur,Sábado,Tarde,Si,Furgoneta,9.5
200,25,90,Electrónico,4.0,1.5,1.0,Este,Domingo,Mañana,No,Auto,18.0
130,15,40,Otro,3.0,1.0,1.0,Oeste,Lunes,Noche,Si,Furgoneta,15.5
280,45,220,Mueble,10.0,3.0,2.0,Norte,Martes,Tarde,Si,Camión,32.0
40,3,6,Ropa,0.5,0.5,0.5,Centro,Miércoles,Mañana,No,Moto,4.0
320,55,280,Alimento,6.0,2.0,2.0,Sur,Jueves,Tarde,Si,Camión,36.5
170,22,70,Electrónico,3.0,1.5,1.0,Este,Viernes,Mañana,No,Furgoneta,17.5
240,35,150,Otro,5.5,2.0,1.5,Oeste,Sábado,Noche,Si,Furgoneta,25.0
100,12,30,Ropa,1.0,0.5,0.5,Centro,Domingo,Tarde,Si,Auto,9.0
400,90,450,Mueble,20.0,4.5,3.0,Norte,Lunes,Mañana,No,Camión,58.0
70,6,15,Alimento,1.0,0.5,0.5,Sur,Martes,Noche,Si,Moto,6.0
260,38,180,Electrónico,4.5,2.0,1.5,Este,Miércoles,Mañana,Si,Furgoneta,25.5
140,16,45,Otro,2.5,1.0,1.0,Oeste,Jueves,Tarde,No,Auto,13.5
310,48,240,Mueble,11.0,3.0,2.0,Norte,Viernes,Mañana,Si,Camión,34.5
55,5,12,Ropa,0.5,0.5,0.5,Centro,Sábado,Noche,Si,Moto,5.0
210,28,100,Alimento,4.0,1.5,1.0,Sur,Domingo,Mañana,No,Furgoneta,19.5
160,20,55,Electrónico,3.0,1.0,1.0,Este,Lunes,Tarde,Si,Auto,15.0
340,52,290,Otro,7.0,2.5,2.0,Oeste,Martes,Mañana,No,Camión,37.0
125,14,38,Ropa,2.0,1.0,0.5,Centro,Miércoles,Noche,Si,Auto,11.0
480,110,550,Mueble,28.0,5.5,3.5,Norte,Jueves,Tarde,Si,Camión,72.5
85,9,22,Alimento,1.5,0.5,0.5,Sur,Viernes,Mañana,No,Furgoneta,9.0
190,24,85,Electrónico,4.0,1.5,1.0,Este,Sábado,Tarde,Si,Auto,17.5
135,16,42,Otro,3.0,1.0,1.0,Oeste,Domingo,Noche,No,Furgoneta,16.0
290,46,230,Mueble,10.0,3.0,2.0,Norte,Lunes,Tarde,Si,Camión,33.0
45,4,7,Ropa,0.5,0.5,0.5,Centro,Martes,Mañana,Si,Moto,4.5
330,58,310,Alimento,6.0,2.0,2.0,Sur,Miércoles,Tarde,No,Camión,37.5
175,22,75,Electrónico,3.5,1.5,1.0,Este,Jueves,Mañana,Si,Furgoneta,18.0
250,36,160,Otro,5.5,2.0,1.5,Oeste,Viernes,Noche,Si,Furgoneta,26.0
105,13,32,Ropa,1.0,0.5,0.5,Centro,Sábado,Tarde,No,Auto,9.5
420,95,480,Mueble,22.0,5.0,3.0,Norte,Domingo,Mañana,Si,Camión,61.0
75,7,18,Alimento,1.0,0.5,0.5,Sur,Lunes,Noche,No,Moto,6.5
270,40,190,Electrónico,4.5,2.0,1.5,Este,Martes,Mañana,Si,Furgoneta,26.5
145,18,48,Otro,2.5,1.0,1.0,Oeste,Miércoles,Tarde,Si,Auto,14.0
320,50,250,Mueble,12.0,3.0,2.0,Norte,Jueves,Mañana,No,Camión,36.0
50,5,10,Ropa,0.5,0.5,0.5,Centro,Viernes,Noche,Si,Moto,5.0
215,29,105,Alimento,4.0,1.5,1.0,Sur,Sábado,Mañana,Si,Furgoneta,20.0
165,21,58,Electrónico,3.0,1.0,1.0,Este,Domingo,Tarde,No,Auto,15.5
350,54,300,Otro,7.5,2.5,2.0,Oeste,Lunes,Mañana,Si,Camión,38.0
